ID,Name,Lat,Lon,Type
97,"WING-A, Uttan Rd, Chandmal Nagar, Chandulal Park, Bhayandar West",19.30233816,72.84710017,
98,"0, Vichumbe Rd, Triveni Society, Sector 16, New Panvel East, Panvel",18.9826911,73.12881914,
99,Ram Singh Rd,19.20502136,72.87263824,
100,"RL-140, Kalyan Rd, Milap Nagar, Dombivli East",19.21167637,73.11180534,
101,"B-WING 101, Bajiprabhu Deshpande Rd, Shakti Nagar, Dahisar East",19.26168422,72.86232078,
102,Sachdeva Building,19.18632921,72.96474555,
103,"0, Phase ll",19.28525408,72.88374427,
104,"A-1, Link Rd, Yogi Nagar, Borivali West",19.23748431,72.83862454,
105,Mumbai - Agra National Hwy,19.2250605,73.01087227,
106,Kopra Rd,19.03152061,73.0766339,
107,"0, Triveni Society",18.9909288,73.12663041,
108,R.B.I Branch,18.97018103,72.82224603,
109,"0, Versova Beach Road, Aram Nagar, Versova, Andheri West",19.12599171,72.8117872,
110,Estrella,19.05831288,72.83391562,
111,"0, Aarey Colony",19.156757,72.87163716,
112,NP-11,19.08514318,72.86127699,
113,Bholenath Nagar St,19.15167795,73.02723477,
114,"200, Rd Number 31, Namdev Koli Marg, Sion",19.03404769,72.86066615,
115,Eco Vista,19.14373927,73.04413223,
116,Gagangiri Maharaj Marg,19.12265509,72.98601321,
117,"100-a, A Gandhi Marg, Vadgadi, Masjid Bandar West, Masjid Bandar",18.95142751,72.83850147,
118,"B-101, Lokhandwala Rd, Lokhandwala Twp, Kandivali East",19.19683087,72.87285667,
119,"0, Palm Beach Rd, Sector 19C, Sector 15, Vashi",19.08072416,73.00309584,
120,"0, Nanabhai Moos Marg, Navy Nagar, Colaba",18.89472277,72.8097991,
121,"1200-0002, Sri Gajnan Maharaj Marg, Ekta Chawl, Samta nagar, Sector 1A, Airoli",19.16930229,72.99629733,
122,Plot 9,18.99760822,73.11972478,
123,"0, 1st Ln, MSEB Colony, Santacruz West",19.08790993,72.84130255,
124,"0, Tokershi Jivraj Rd, Shivaji Nagar, Parel",19.00253385,72.85034849,
125,"A157-B, Chandivali Rd, Muranjan Wadi, Chandivali, Powai",19.1128898,72.88939835,
126,"0, Raheja Exotica",19.14870442,72.79885184,
127,Pilot Bandar Rd,18.90536935,72.81694331,
128,"0-27, Bimbisar Nagar Rd, Bimbisar Nagar, Goregaon East",19.14679313,72.85584246,
129,0-2,19.02908366,73.03085025,
130,Shri Pundalik Mahadu Patil Marg,19.05384494,73.01673742,
131,Thomas Wadi,19.24216181,72.7777698,
132,Pushpak Apartments,18.96526481,72.81020794,
133,"148B, Juhu Tara Rd, Airport Area, Juhu",19.10133892,72.82426402,
134,Sai Baba Nagar Ln,19.21535691,72.8492207,
135,"M/5, Best Colony Rd, Anand Nagar, Andheri West",19.15045275,72.83218348,
136,Vit Bhatti Ram Yadav Chawl,19.17341228,72.85911117,
137,SV Rd,19.22829406,72.85676308,
138,Building 21,19.03866428,72.89779912,
139,"300, Swatantrya Veer Sawarkar Marg, Chandrakant Dhuru Wadi, Dadar",19.02720244,72.8351645,
140,Avirahi Heights,19.2015238,72.81623427,
141,"C-104, MH SH 35, Bangar Nagar, Rajlaxmi Complex, Kalher",19.24848729,73.01490005,
142,"Rd Number 1, Pandurang Wadi, Goregaon West",19.16906125,72.84865365,
143,"A-11, Sarojini Naidu Rd, Tambe Nagar, Ashok Nagar, Mulund West",19.18097907,72.95651322,
